n,문장,Intent,Status,Activity,Date,주기,매칭,함정
30,빨래는 끝낸 줄 알았는데 내일 다시 빨 거야,기록,미래,빨래,-1,,,O
31,오늘 이불 못 빨았어,기록,미완료,이불 빨래,0,,item-1,
32,필터 아직 안 갈았어,기록,미완료,필터 교체,,,,
33,오늘 청소하려다 못 했어,기록,미완료,청소,0,,,
34,어제 설거지 안 했어,기록,미완료,설거지,1,,item-3,
35,쓰레기 아직 못 버렸어,기록,미완료,쓰레기 버리기,,,item-7,
36,커튼은 아직 안 빨았어,기록,미완료,커튼 빨래,,,item-6,
37,청소기 돌리다가 못 했어,기록,미완료,청소기 돌리기,,,item-8,
38,강아지 목욕은 안 시켰어,기록,미완료,강아지 목욕,,,item-9,
39,화장실 청소를 하지 못했어,기록,미완료,화장실 청소,,,item-5,
40,세탁기 청소는 아직이야,기록,미완료,세탁기 청소,,,item-10,
41,오늘 빨래는 못 했고 설거지만 했어,기록,완료,설거지,0,,item-3,O
42,어제 빨려고 했는데 안 했어,기록,미완료,빨래,1,,,O
43,필터는 갈았는데 이불은 못 빨았어,기록,완료,필터 교체,0,,,O
44,청소는 했어도 창문은 안 닦았어,기록,완료,청소,0,,,O
45,쓰레기 버렸는데 분리수거는 못 했어,기록,완료,쓰레기 버리기,0,,item-7,O
46,지난주쯤 이불 빨았던 것 같은데,기록,애매,이불 빨래,7,,item-1,
47,필터 언제 갈았더라,조회,조회,필터 교체,,,,
48,아마 어제 청소했던가,기록,애매,청소,1,,,
49,이불 빨았던 게 지난주였나,기록,애매,이불 빨래,7,,item-1,
50,그저께쯤 설거지한 것 같아,기록,애매,설거지,2,,item-3,
51,쓰레기 버린 지가 며칠 됐지 싶어,조회,조회,쓰레기 버리기,,,item-7,
52,커튼은 아마 지난달에 빨았나,기록,애매,커튼 빨래,30,,item-6,
53,청소기 돌린 게 언제였더라,조회,조회,청소기 돌리기,,,item-8,
54,강아지 목욕시킨 지 꽤 된 것 같아,기록,애매,강아지 목욕,,,item-9,
55,화장실 청소가 저번 주쯤이었나,기록,애매,화장실 청소,7,,item-5,
56,빨래는 한 것 같기도 하고 안 한 것 같기도 해,기록,애매,빨래,,,,O
57,필터는 간 것 같은데 정확히 언제인지 모르겠어,기록,애매,필터 교체,,,,O
58,청소는 못 한 것 같기도 하고 한 것 같기도 해,기록,애매,청소,,,,O
59,설거지는 어제인가 그저께인가 했어,기록,애매,설거지,,,item-3,O
60,이불은 빨았나 안 빨았나 기억이 안 나,기록,애매,이불 빨래,,,item-1,O
61,나 이불 빨래 언제 했어?,조회,조회,이불 빨래,,,item-1,
62,필터 갈아끼운 지 며칠이야?,조회,조회,필터 교체,,,,
63,청소기 돌린 지 며칠 됐어?,조회,조회,청소기 돌리기,,,item-8,
64,마지막에 커튼 언제 빨았어?,조회,조회,커튼 빨래,,,item-6,
65,설거지 언제 했지?,조회,조회,설거지,,,item-3,
66,"오늘 이불 빨았어, 일주일마다 알려줘",기록,완료,이불 빨래,0,7,item-1,
67,어제 필터 갈았어 3일마다,기록,완료,필터 교체,1,3,,
68,쓰레기 버렸어 보름마다 알려줘,기록,완료,쓰레기 버리기,0,15,item-7,
69,강아지 목욕시켰어 한 달마다,기록,완료,강아지 목욕,0,30,item-9,
71,이불 빨래 한 지 얼마야?,조회,조회,이불 빨래,,,item-1,
72,필터 언제 갈았어?,조회,조회,필터 교체,,,,
73,에어컨 청소 언제 했어,조회,조회,에어컨 청소,,,item-4,
74,오늘 커튼 빨았어 14일마다 알려줘,기록,완료,커튼 빨래,0,14,item-6,
75,화장실 청소했어 이틀마다,기록,완료,화장실 청소,0,2,item-5,
76,오늘 이불 빨았어 매주 금요일 알려줘,기록,완료,이불 빨래,0,7,item-1,
77,오늘 필터 갈았어 매월 10일마다 알려줘,기록,완료,필터 교체,0,30,,
78,오늘 화장실 청소했어 매월 마지막 수요일 알려줘,기록,완료,화장실 청소,0,30,item-5,
79,오늘 커튼 빨았어 매월 둘째 일요일 알려줘,기록,완료,커튼 빨래,0,30,item-6,
80,어제 병원 갔다왔어,기록,완료,병원 방문,1,,item-16,
81,지난주에 세차했어,기록,완료,세차,7,,,
82,그저께 치과 검진 받았어,기록,완료,치과 검진,2,,,
83,오늘 독감 예방접종 맞았어,기록,완료,독감 예방접종,0,,,
84,안경 새로 맞췄어,기록,완료,안경 맞춤,0,,,
85,오늘 보험료 냈어,기록,완료,보험료 납부,0,,,
86,오늘 미용실 다녀왔어,기록,완료,미용실 방문,0,,item-17,
87,어제 자동차 정비 받았어,기록,완료,자동차 정비,1,,,
88,"오늘 병원 다녀왔고, 3개월마다 갈 거야",기록,완료,병원 방문,0,90,item-16,
89,"세차했어, 앞으로 한 달마다 할 거야",기록,완료,세차,0,30,,O
90,"미용실 다녀왔어, 두 달마다 갈 거야",기록,완료,미용실 방문,0,60,item-17,
91,"치과 검진 받았어, 6개월마다 할 거야",기록,완료,치과 검진,0,180,,O
92,지지난주에 커튼 빨았어,기록,완료,커튼 빨래,14,,item-6,O
93,사흘 전에 화장실 청소했어,기록,완료,화장실 청소,3,,item-5,
94,지난달 15일에 정수기 필터 갈았어,기록,완료,정수기 필터 교체,지난달 15일,,item-2,
95,이번 주 초에 청소기 돌렸어,기록,애매,청소기 돌리기,,,item-8,
96,얼마 전에 분리수거 했어,기록,애매,분리수거,,,item-11,
97,오늘 설거지함,기록,완료,설거지,0,,item-3,
98,어제 빨래했당,기록,완료,빨래,1,,,
99,쓰레기 버렸음,기록,완료,쓰레기 버리기,0,,item-7,
100,필터 갈아치웠어,기록,완료,필터 교체,0,,,
101,병원 언제 갔었지?,조회,조회,병원 방문,,,item-16,
102,세차한 지 얼마나 됐어?,조회,조회,세차,,,,
103,미용실 다음 달에 갈 예정이야,기록,미래,미용실 방문,-30,,item-17,O
104,강아지 미용했어,기록,완료,강아지 미용,0,,,
105,필터를 갈았던 것도 같은데,기록,애매,필터 교체,,,,
106,필터 마지막에 언제 갈았지?,조회,조회,필터 교체,,,,
107,오늘 책 읽었고 일주일에 한 번 알려줘,기록,완료,책 읽기,0,7,,O
108,난 오늘 설거지 했어,기록,완료,설거지,0,,item-3,
109,나는 어제 이불 빨았어,기록,완료,이불 빨래,1,,item-1,
110,나 그저께 거실 정수기 청소하고 필터 교체했어,기록,완료,거실 정수기 청소,2,,,O
111,9/14에 이불 빨았어,기록,완료,이불 빨래,9/14,,item-1,O
112,9월 14일에 이불 빨았어,기록,완료,이불 빨래,9/14,,item-1,O
113,14일에 이불 빨았어,기록,완료,이불 빨래,14일,,item-1,O
114,9.14 필터 갈았어,기록,완료,필터 교체,9/14,,,O
